Filename, Energy, Contrast, Homogenity, IDM, Entropy, Mean1, Cluster Shade, Cluster Prominence, Shapes Detected, Circle, Triangle, Rectangle, Irregular Small, Irregular Large, Circle Area, Triangle Area, Rectangle Area, Irreg. S. Area, Irreg. L Area,Disease
20180707-IMG_1504__0,0.39335,4.480084,0.941287,0.095184,0.941058,12.346788,116869.5469,8446618,25,3,0,0,21,1,0,#NAME?,inf,1144.238037,17548.5,Goss's Wilt
20180707-IMG_1504__1,0.292065,14.16215,0.921077,0.114581,1.181823,17.671722,298168.2188,31070528,21,0,0,0,18,3,#NAME?,#NAME?,#NAME?,1418.916626,36414.83203,Goss's Wilt
20180707-IMG_1504__2,0.735965,4.129031,0.972869,0.037541,0.42784,5.187331,62181.3125,4973715,17,0,0,0,16,1,#NAME?,#NAME?,#NAME?,1042.78125,20907.5,Goss's Wilt
20180707-IMG_1504__3,0.324195,20.188078,0.921583,0.098577,1.142992,19.451302,407815.1875,44677012,45,4,0,0,41,0,0,#NAME?,inf,1814.719482,#NAME?,Goss's Wilt
20180707-IMG_1505__0,0.700087,31.967596,0.92131,0.058329,0.574878,7.00465,171713.1406,19773360,138,18,0,1,116,3,0,inf,27783,1532.112061,41119.5,Gray Leaf Spot
20180707-IMG_1505__1,0.524125,59.910503,0.867362,0.093747,0.83291,11.483417,274738.7813,30779328,164,10,1,2,142,9,543.450012,8516,6341,1177.764038,29520,Gray Leaf Spot
20180707-IMG_1505__2,0.532113,47.632191,0.880737,0.091667,0.869559,12.119868,304629.9688,35228428,174,13,0,0,158,3,0,#NAME?,inf,1557.237305,29275.66602,Gray Leaf Spot
20180707-IMG_1505__3,0.721387,14.264586,0.939261,0.049503,0.526971,4.199078,46058.32422,3749063.75,186,16,1,1,166,2,27219.4375,1466,17542,1235.424683,12772.25,Gray Leaf Spot
20180707-IMG_1506__0,0.662137,12.56649,0.931332,0.066592,0.61974,5.245607,49756.02734,3695999.25,61,0,0,2,52,7,#NAME?,inf,0,1610.836548,21810.78516,Philippine Downy Mildew
20180707-IMG_1506__1,0.549148,75.454437,0.896124,0.069326,0.694088,14.062526,501332.0313,68383288,94,0,2,0,84,8,inf,0,#NAME?,786.666687,43878.125,Philippine Downy Mildew
20180707-IMG_1506__2,0.774697,32.288223,0.950742,0.033798,0.380309,6.817845,263812.9688,37127536,58,0,0,0,55,3,#NAME?,#NAME?,#NAME?,729.654541,51213.33203,Philippine Downy Mildew
20180707-IMG_1506__3,0.876123,4.994905,0.976111,0.023548,0.244007,1.995645,23585.44531,1933942.25,42,2,0,1,35,4,0,inf,1804.5,1315.214233,21804.625,Philippine Downy Mildew
20180707-IMG_1508__0,0.629182,35.277447,0.913543,0.074005,0.681282,10.351926,283037.1563,33879864,50,5,1,0,40,4,142208.2031,0,inf,2197.662598,33100.625,Philippine Downy Mildew
20180707-IMG_1508__1,0.750694,67.174782,0.919453,0.046277,0.438634,5.710533,209331.0781,29104606,108,4,0,0,96,8,0,#NAME?,inf,1175.734375,22876,Philippine Downy Mildew
20180707-IMG_1508__2,0.835751,21.63843,0.951536,0.032959,0.332864,3.497831,83086.01563,9391546,60,4,0,2,47,7,0,inf,3942.5,1320.170166,41240.64453,Philippine Downy Mildew
20180707-IMG_1508__3,0.824166,11.706322,0.953266,0.035763,0.364557,2.88505,41100.07422,3729765.5,70,3,0,1,58,8,0,inf,6190.5,2067.577637,34611.0625,Philippine Downy Mildew
20180707-IMG_1509__0,0.760911,7.479198,0.937155,0.049817,0.478465,2.272789,12861.11523,762155.6875,43,0,0,0,35,8,#NAME?,#NAME?,#NAME?,1501.685669,27096.4375,Gray Leaf Spot
20180707-IMG_1509__1,0.855856,3.754412,0.963551,0.029455,0.286475,1.282124,5891.444824,306440.375,2,0,0,0,2,0,#NAME?,#NAME?,#NAME?,1263.5,#NAME?,Gray Leaf Spot
20180707-IMG_1509__2,0.455052,147.828537,0.81148,0.110728,0.927341,14.577694,543164.25,75919128,101,2,0,1,95,3,0,inf,4571,1206.221069,18106,Philippine Downy Mildew
20180707-IMG_1509__3,0.482031,169.625534,0.803185,0.110734,0.887252,11.969971,438627.8438,61324956,162,0,0,1,153,8,#NAME?,inf,0,841.388916,28079.9375,Philippine Downy Mildew
20180707-IMG_1510__0,0.633099,37.166714,0.89023,0.081431,0.742859,7.311625,146022.5,15644610,161,10,0,0,131,20,0,#NAME?,inf,2069.022949,24765.57422,Maydis Leaf Blight
20180707-IMG_1510__1,0.625987,3.231554,0.931441,0.077301,0.61379,3.167537,7756.14502,284766.2188,0,0,0,0,0,0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Maydis Leaf Blight
20180707-IMG_1510__2,0.450797,37.475655,0.853749,0.128184,1.114176,11.934979,220541.4219,23225710,82,2,0,0,62,18,0,#NAME?,inf,1925.427368,39367.39063,Maydis Leaf Blight
20180707-IMG_1510__3,0.510917,147.447174,0.818547,0.101415,0.844711,12.208263,450229.4688,62820588,61,0,1,0,58,2,inf,0,#NAME?,1146.948242,49468,Maydis Leaf Blight
20180707-IMG_1511__0,0.766087,8.283268,0.934289,0.047807,0.461975,2.048127,9826.566406,540005.625,116,5,0,0,103,8,0,#NAME?,inf,2178.116455,26441.875,Maydis Leaf Blight
20180707-IMG_1511__1,0.573179,37.058998,0.870752,0.095822,0.882752,8.241657,153652.6094,16225374,158,6,0,1,140,11,0,inf,14824.5,1730.221436,34534.31641,Maydis Leaf Blight
20180707-IMG_1511__2,0.734211,5.521406,0.941647,0.052365,0.495475,2.201891,7914.973633,379278.9063,0,0,0,0,0,0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Maydis Leaf Blight
20180707-IMG_1511__3,0.592062,133.501968,0.846684,0.086273,0.695866,8.278014,302881.375,42497124,234,6,1,0,209,18,122682.9141,0,inf,1137.861206,19381.11133,Maydis Leaf Blight
20180707-IMG_1513__0,0.565412,8.900379,0.858149,0.097821,0.811581,2.467296,5042.355469,182415.6563,151,5,1,1,137,7,453.899994,443906,8784,1317.715332,29181.78516,Maydis Leaf Blight
20180707-IMG_1513__1,0.46145,18.804436,0.867805,0.115627,1.0569,6.193421,43148.90625,2917084.25,145,3,0,0,136,6,0,#NAME?,inf,1024.297852,36653.08203,Maydis Leaf Blight
20180707-IMG_1513__2,0.653341,9.102591,0.898493,0.07203,0.669573,2.426767,7914.746094,367182.75,124,4,0,1,111,8,0,inf,4629,1233.189209,38351.3125,Maydis Leaf Blight
20180707-IMG_1513__3,0.626741,3.691213,0.922571,0.070053,0.659868,2.025239,3459.665283,117783.7266,132,3,0,0,118,11,0,#NAME?,inf,973.377136,26305.22656,Maydis Leaf Blight
20180707-IMG_1518__0,0.954874,2.398906,0.987552,0.008616,0.095241,0.486814,3644.824463,231825.4531,70,5,0,2,63,0,0,inf,1583.75,1009.238098,#NAME?,Gray Leaf Spot
20180707-IMG_1518__1,0.98535,3.935828,0.995194,0.002999,0.03134,0.173815,5557.34375,744039.6875,16,0,1,0,15,0,inf,0,#NAME?,499.633331,#NAME?,Gray Leaf Spot
20180707-IMG_1518__2,0.839855,24.268402,0.963734,0.024853,0.27845,4.518788,174176.2344,24504296,37,0,1,0,32,4,inf,0,#NAME?,1040.90625,20693.375,Gray Leaf Spot
20180707-IMG_1518__3,0.862148,29.737194,0.960752,0.024883,0.248779,3.270271,120180.9297,16651313,96,1,0,0,90,5,0,#NAME?,inf,1099.205566,41568.60156,Gray Leaf Spot
20180707-IMG_1520__0,0.960455,1.284693,0.992663,0.006321,0.080286,0.546846,4780.210449,322981.0625,34,8,0,0,25,1,0,#NAME?,inf,1869.52002,13464,Maydis Leaf Blight
20180707-IMG_1520__1,0.903349,1.756971,0.978114,0.016007,0.168747,0.759497,2601.644043,110373.8828,33,0,0,0,32,1,#NAME?,#NAME?,#NAME?,1508.59375,11793.5,Goss's Wilt
20180707-IMG_1520__2,0.599029,27.777189,0.919291,0.079544,0.731013,10.234674,233768.7656,25886222,116,9,0,1,86,20,0,inf,33728,1896.238403,25645.17578,Maydis Leaf Blight
20180707-IMG_1520__3,0.623742,32.984455,0.944492,0.044272,0.534913,12.781156,464186.9063,63552444,88,1,0,0,80,7,0,#NAME?,inf,1264.449951,29235.64258,Goss's Wilt
20180707-IMG_1521__0,0.602888,20.703012,0.904598,0.086113,0.777462,7.231956,99683.73438,9019956,121,7,0,0,100,14,0,#NAME?,inf,2053.324951,27053.03516,Maydis Leaf Blight
20180707-IMG_1521__1,0.739202,19.393637,0.930835,0.053917,0.533996,5.225591,99294.55469,10447274,92,9,0,1,71,11,0,inf,11815,1797.563354,21518.5918,Maydis Leaf Blight
20180707-IMG_1521__2,0.429311,45.748032,0.852327,0.130072,1.149166,15.37317,403994.125,49517952,123,6,1,0,104,12,87507.83594,0,inf,1478.139404,16709.75,Maydis Leaf Blight
20180707-IMG_1521__3,0.813714,11.814774,0.95432,0.036399,0.37447,3.044868,37802.61328,3200039.25,70,4,0,1,54,11,0,inf,2843,2149,24552,Maydis Leaf Blight
20180707-IMG_1522__0,0.82436,27.381378,0.955824,0.028495,0.30051,4.535106,167940.2344,23198250,76,1,0,0,66,9,0,#NAME?,inf,1728.79541,28363.27734,Maydis Leaf Blight
20180707-IMG_1522__1,0.532477,21.728706,0.893391,0.101745,0.849015,8.997436,114672.3438,9525714,139,6,0,0,114,19,0,#NAME?,inf,2122.539551,24224.73633,Maydis Leaf Blight
20180707-IMG_1522__2,0.38505,13.088689,0.900177,0.118609,1.077722,10.557168,87463.53125,6052395.5,59,5,1,0,37,16,38444.19922,0,inf,3054.283691,19436.34375,Maydis Leaf Blight
20180707-IMG_1522__3,0.577439,15.178674,0.920083,0.083331,0.748611,8.051617,97941.25,7939334.5,100,14,0,1,74,11,0,inf,35136,2034.202759,26929.4082,Maydis Leaf Blight
20180707-IMG_1525__0,0.625174,6.592045,0.9137,0.070637,0.604511,3.488228,11875.62598,503127.4063,86,0,0,0,78,8,#NAME?,#NAME?,#NAME?,1699.596191,24785.75,Maydis Leaf Blight
20180707-IMG_1525__1,0.671325,63.659817,0.908557,0.057774,0.558154,9.438799,359490.5313,50393896,52,0,1,2,37,12,inf,117364.5,0,1523.270264,28468.5,Maydis Leaf Blight
20180707-IMG_1525__2,0.422413,19.009188,0.87659,0.127631,1.045977,9.993279,91210.50781,6533482,109,5,0,0,81,23,0,#NAME?,inf,2144.623535,25809.89063,Maydis Leaf Blight
20180707-IMG_1525__3,0.398938,36.815266,0.846409,0.145942,1.175229,12.999749,202124.3438,19162714,131,16,0,1,95,19,0,inf,34381,2347.747314,33936.52734,Maydis Leaf Blight
20180707-IMG_1527__0,0.562537,39.375465,0.904705,0.084503,0.825483,11.198603,274929.8438,31876450,122,4,0,2,110,6,0,inf,5187.25,1111.21814,39669.75,Philippine Downy Mildew
20180707-IMG_1527__1,0.585764,27.857803,0.919972,0.072949,0.742907,10.48826,243444.4531,26998002,116,1,0,1,108,6,0,inf,727.5,796.828674,39910.75,Philippine Downy Mildew
20180707-IMG_1527__2,0.767944,21.641531,0.944381,0.045502,0.461637,4.754664,105242.8516,11730101,99,5,0,0,91,3,0,#NAME?,inf,1125.115356,28088.16602,Philippine Downy Mildew
20180707-IMG_1527__3,0.719939,30.262209,0.939233,0.052648,0.511469,7.604795,237689.7969,30386704,91,1,0,1,85,4,0,inf,376,696.641174,42774.25,Philippine Downy Mildew
20180707-IMG_1529__0,0.401146,32.06646,0.900971,0.106755,1.059715,17.506474,412158.875,46169684,55,1,2,0,49,3,142383,0,inf,1163.877563,39867.33203,Philippine Downy Mildew
20180707-IMG_1529__1,0.351393,37.931152,0.881792,0.125023,1.166964,19.389231,457840,51423904,91,2,0,0,79,10,0,#NAME?,inf,1190.898682,39601.14844,Philippine Downy Mildew
20180707-IMG_1529__2,0.773471,17.778667,0.955067,0.036604,0.423916,5.34371,129333.1406,14813263,55,0,0,0,50,5,#NAME?,#NAME?,#NAME?,1738.380005,36363.80078,Philippine Downy Mildew
20180707-IMG_1529__3,0.402322,53.915989,0.870627,0.11123,1.060185,16.596912,408422.5313,46913916,138,4,0,1,121,12,0,inf,4338,1229.892578,24512.5,Philippine Downy Mildew
20180707-IMG_1530__0,0.736262,11.833263,0.944134,0.054277,0.496419,4.56608,56137.84375,4669871.5,75,8,0,0,53,14,0,#NAME?,inf,2593.217041,20710.92773,Maydis Leaf Blight
20180707-IMG_1530__1,0.504605,33.541191,0.885512,0.113914,0.940661,12.61556,276676.4063,30448574,123,11,0,0,97,15,0,#NAME?,inf,1739.154663,25616.9668,Maydis Leaf Blight
20180707-IMG_1530__2,0.85228,5.531899,0.96959,0.029195,0.278607,2.14319,19112.32031,1335442.125,62,10,0,0,46,6,0,#NAME?,inf,2191.391357,27176.33398,Maydis Leaf Blight
20180707-IMG_1530__3,0.568342,28.052015,0.903438,0.098376,0.817801,10.476072,217663.4844,23333192,100,7,0,1,71,21,0,inf,12785,2263.718262,28778.45313,Maydis Leaf Blight
20180707-IMG_1531__0,0.972491,6.05899,0.9917,0.005195,0.053852,0.381845,12618.76758,1689408.375,21,0,0,0,21,0,#NAME?,#NAME?,#NAME?,1838.571411,#NAME?,Maydis Leaf Blight
20180707-IMG_1531__1,0.975826,5.118093,0.993115,0.004337,0.047961,0.387319,13097.31641,1759919.125,20,0,0,0,19,1,#NAME?,#NAME?,#NAME?,1429.842163,15003,Maydis Leaf Blight
20180707-IMG_1531__2,0.739887,8.015434,0.954932,0.034781,0.415702,4.014809,36294.37891,2478586.75,55,3,0,1,50,1,0,inf,9206,1241.119995,14290.5,Maydis Leaf Blight
20180707-IMG_1531__3,0.800674,27.460339,0.962147,0.022956,0.290097,5.649307,194229.2188,25965402,24,0,0,0,24,0,#NAME?,#NAME?,#NAME?,1049.75,#NAME?,Maydis Leaf Blight
20180707-IMG_1535__0,0.29782,68.579094,0.777532,0.183356,1.456599,18.445494,390625.125,42870452,182,3,1,0,168,10,79561.33594,0,inf,1003.735107,17820.40039,Maydis Leaf Blight
20180707-IMG_1535__1,0.351947,49.268787,0.832308,0.154606,1.306264,15.498942,315316.875,34725700,111,6,0,0,92,13,0,#NAME?,inf,1587.603271,29266.42383,Maydis Leaf Blight
20180707-IMG_1535__2,0.499576,162.924103,0.809705,0.105669,0.865714,12.217162,449577.5313,62817704,159,2,1,0,143,13,96125.75,0,inf,1337.982544,26411.6543,Maydis Leaf Blight
20180707-IMG_1535__3,0.516147,15.291111,0.898593,0.106061,0.904265,7.644423,72020.16406,5467919,73,11,0,2,46,14,0,inf,12104.5,2111.576172,34444,Maydis Leaf Blight
20180707-IMG_1536__0,0.461132,14.428061,0.896154,0.114506,0.98717,8.429958,69535.72656,4897253,71,5,1,0,54,11,1212.199951,0,inf,2380.518555,24852.95508,Maydis Leaf Blight
20180707-IMG_1536__1,0.833447,4.210065,0.956129,0.033419,0.314292,1.40253,5507.311523,257793.4063,94,2,0,1,83,8,0,inf,1393,1604.981934,26320.125,Maydis Leaf Blight
20180707-IMG_1536__2,0.24272,71.875519,0.783656,0.198988,1.561549,21.90876,537067,63426152,81,1,1,0,73,6,1055538,0,inf,1527.034302,14085.91699,Maydis Leaf Blight
20180707-IMG_1536__3,0.849608,3.495977,0.961223,0.030009,0.292535,1.300673,5003.968262,234221.0625,67,5,0,0,58,4,0,#NAME?,inf,1523.75,30878.625,Maydis Leaf Blight
20180707-IMG_1538__0,0.292577,17.192974,0.874288,0.152527,1.257715,12.116121,103628.1328,7925082.5,40,0,1,1,29,9,inf,6397,0,2894.379395,24776.44531,Maydis Leaf Blight
20180707-IMG_1538__1,0.887618,28.910343,0.965147,0.020384,0.212568,2.483639,93023.98438,13072712,20,0,0,0,12,8,#NAME?,#NAME?,#NAME?,1371.75,34249.6875,Maydis Leaf Blight
20180707-IMG_1538__2,0.260082,28.166731,0.856054,0.167685,1.467672,18.644894,358097.0938,39872064,51,2,0,1,35,13,0,inf,6122,2398.75708,21771.88477,Maydis Leaf Blight
20180707-IMG_1538__3,0.362359,13.681749,0.88448,0.136095,1.144221,10.025654,72137.71875,4801330.5,56,2,0,0,42,12,0,#NAME?,inf,3000.119141,20669.33398,Maydis Leaf Blight
20180707-IMG_1539__0,0.642272,5.143685,0.914667,0.077064,0.63631,2.68488,6756.878418,259634,141,4,0,0,122,15,0,#NAME?,inf,1577,26404.23242,Maydis Leaf Blight
20180707-IMG_1539__1,0.670671,3.413654,0.93241,0.064763,0.56046,2.248728,4366.276367,145308.5313,108,2,0,0,90,16,0,#NAME?,inf,1260.050049,35005.875,Maydis Leaf Blight
20180707-IMG_1539__2,0.607909,5.006546,0.907125,0.086254,0.696314,2.668756,5513.354004,196400.4063,129,3,0,0,112,14,0,#NAME?,inf,1833.857178,37869.67969,Maydis Leaf Blight
20180707-IMG_1539__3,0.771522,3.057177,0.95075,0.045015,0.402722,1.638657,3833.547607,139311.9063,124,6,0,0,106,12,0,#NAME?,inf,1699.782959,24405.75,Maydis Leaf Blight
20180707-IMG_1541__0,0.568576,25.013615,0.89898,0.090585,0.829652,9.180979,153491.75,14801962,152,22,0,0,112,18,0,#NAME?,inf,2443.120605,26521.25,Maydis Leaf Blight
20180707-IMG_1541__1,0.760314,4.329252,0.946457,0.046588,0.451581,1.860969,6103.794922,271821.6563,95,6,0,0,81,8,0,#NAME?,inf,1387.086426,30220.4375,Maydis Leaf Blight
20180707-IMG_1541__2,0.422576,35.99984,0.859749,0.130715,1.118933,13.800741,250676.2344,25137754,135,18,0,0,95,22,0,#NAME?,inf,2545.958008,28496.45508,Maydis Leaf Blight
20180707-IMG_1541__3,0.831611,3.10493,0.962121,0.03267,0.318261,1.348788,4379.682129,190076.0625,97,5,0,0,83,9,0,#NAME?,inf,2011.909668,20383.72266,Maydis Leaf Blight
20180707-IMG_1542__0,0.480677,11.708787,0.910225,0.103992,0.955001,7.144733,52854.34375,3721175,64,8,0,3,43,10,0,inf,3198.666748,1426.918579,18175.65039,Maydis Leaf Blight
20180707-IMG_1542__1,0.634695,5.26316,0.932897,0.067639,0.60861,3.621209,12620.08496,551532.6875,67,3,0,5,53,6,0,inf,1906.300049,1218.613159,35670.25,Maydis Leaf Blight
20180707-IMG_1542__2,0.225755,11.192028,0.876103,0.164021,1.377625,11.44767,65669.83594,4098843.5,52,2,0,0,41,9,0,#NAME?,inf,1434.182983,31767.05469,Maydis Leaf Blight
20180707-IMG_1542__3,0.638687,4.984613,0.930504,0.064614,0.608665,3.060931,9123.47168,371819.6875,63,1,0,0,54,8,0,#NAME?,inf,1105.870361,44447.8125,Maydis Leaf Blight
20180707-IMG_1544__0,0.360195,26.162695,0.843369,0.142182,1.282118,7.547467,63763.375,5202913,117,9,0,0,97,11,0,#NAME?,inf,1603.443359,33698.54688,Maydis Leaf Blight
20180707-IMG_1544__1,0.453634,26.942596,0.868796,0.115685,1.089523,8.726009,101186.6641,8920579,97,9,1,0,72,15,12718.33301,0,inf,2153.916748,27820.76758,Maydis Leaf Blight
20180707-IMG_1544__2,0.678402,4.487361,0.943437,0.057614,0.58127,2.868615,10716.67871,510813.2813,89,4,1,1,71,12,719.125,4053,4509.5,1392.563354,31706.5,Maydis Leaf Blight
20180707-IMG_1544__3,0.720008,6.742905,0.946396,0.051382,0.512526,3.263424,18634.55078,1072105.25,86,3,0,2,71,10,0,inf,2127,1801.140869,33387.14844,Maydis Leaf Blight
20180707-IMG_1545__0,0.66623,3.150522,0.941337,0.06439,0.569108,2.791972,7554.34375,296251.9688,47,1,0,0,39,7,0,#NAME?,inf,1659.666626,36066.21484,Maydis Leaf Blight
